Dataset,Value,Count,Ratio(%)
Drillhole Original,4464721,1076,0.02
Drillhole Original,4810449,973,0.02
Drillhole Original,150938,964,0.02
Drillhole Original,150937,954,0.01
Drillhole Original,2431315,936,0.01
Drillhole Original,150939,863,0.01
Drillhole Original,3713537,858,0.01
Drillhole Original,3169575,858,0.01
Drillhole Original,4464722,855,0.01
Drillhole Original,150934,770,0.01
Drillhole Original,4022175,752,0.01
Drillhole Original,2431325,738,0.01
Drillhole Original,1004987,720,0.01
Drillhole Original,2431312,691,0.01
Drillhole Original,4464723,669,0.01
Drillhole Original,2431322,641,0.01
Drillhole Original,2431324,636,0.01
Drillhole Original,2808178,629,0.01
Drillhole Original,2341910,618,0.01
Drillhole Original,2431314,616,0.01
Drillhole DNN,3169575,1009,0.11
Drillhole DNN,3713537,1005,0.11
Drillhole DNN,3169576,860,0.09
Drillhole DNN,3169574,548,0.06
Drillhole DNN,3849712,544,0.06
Drillhole DNN,3169579,535,0.06
Drillhole DNN,3169580,470,0.05
Drillhole DNN,3169577,453,0.05
Drillhole DNN,4355382,432,0.05
Drillhole DNN,4355383,424,0.05
Drillhole DNN,3182763,376,0.04
Drillhole DNN,4858010,376,0.04
Drillhole DNN,3921427,345,0.04
Drillhole DNN,2777766,324,0.04
Drillhole DNN,792833,315,0.03
Drillhole DNN,3849713,307,0.03
Drillhole DNN,3949188,306,0.03
Drillhole DNN,792837,305,0.03
Drillhole DNN,792830,300,0.03
Drillhole DNN,3849490,295,0.03
