SAMPLEID,LATITUDE,LONGITUDE,SAMPLETYPE,COLLARID,FROMDEPTH,TODEPTH,Cu_ppm,SPURIOUS,Dataset
19903675,-31.353476,121.50571,DRILLDD,931942,40.0,224242.0,106.0,0.0,Drillhole Original
19903696,-31.353476,121.50571,DRILLDD,931942,127.8,224554.0,71.0,0.0,Drillhole Original
19903676,-31.353476,121.50571,DRILLDD,931942,44.0,224243.0,82.0,0.0,Drillhole Original
19903677,-31.353476,121.50571,DRILLDD,931942,48.0,224244.0,69.0,0.0,Drillhole Original
19903678,-31.353476,121.50571,DRILLDD,931942,52.0,224245.0,60.0,0.0,Drillhole Original
19903680,-31.353476,121.50571,DRILLDD,931942,60.0,224247.0,168.0,0.0,Drillhole Original
19903700,-31.353476,121.50571,DRILLDD,931942,130.8,224558.0,59.0,0.0,Drillhole Original
19903701,-31.353476,121.50571,DRILLDD,931942,131.5,224559.0,87.0,0.0,Drillhole Original
19903703,-31.353476,121.50571,DRILLDD,931942,133.21,224561.0,19.0,0.0,Drillhole Original
19903704,-31.353476,121.50571,DRILLDD,931942,134.21,224562.0,79.0,0.0,Drillhole Original
19903587,-31.353289,121.506004,DRILLDD,931940,32.0,224156.0,148.0,0.0,Drillhole Original
19903586,-31.353289,121.506004,DRILLDD,931940,28.0,224155.0,251.0,0.0,Drillhole Original
19903585,-31.353289,121.506004,DRILLDD,931940,24.0,224154.0,115.0,0.0,Drillhole Original
19903584,-31.353289,121.506004,DRILLDD,931940,20.0,224153.0,100.0,0.0,Drillhole Original
19903583,-31.353289,121.506004,DRILLDD,931940,16.0,224152.0,102.0,0.0,Drillhole Original
19903582,-31.353289,121.506004,DRILLDD,931940,12.0,224151.0,130.0,0.0,Drillhole Original
19903581,-31.353289,121.506004,DRILLDD,931940,8.0,224150.0,110.0,0.0,Drillhole Original
19903627,-31.353289,121.506004,DRILLDD,931940,102.0,224335.0,6.0,2.0,Drillhole Original
19903611,-31.353289,121.506004,DRILLDD,931940,83.6,224319.0,65.0,0.0,Drillhole Original
19903625,-31.353289,121.506004,DRILLDD,931940,101.63,224333.0,48.0,0.0,Drillhole Original
19903624,-31.353289,121.506004,DRILLDD,931940,100.3,224332.0,33.0,0.0,Drillhole Original
19903623,-31.353289,121.506004,DRILLDD,931940,99.44,224331.0,58.0,0.0,Drillhole Original
19903622,-31.353289,121.506004,DRILLDD,931940,98.57,224330.0,62.0,0.0,Drillhole Original
19903621,-31.353289,121.506004,DRILLDD,931940,97.57,224329.0,29.0,0.0,Drillhole Original
19903620,-31.353289,121.506004,DRILLDD,931940,97.0,224328.0,32.0,0.0,Drillhole Original
19903619,-31.353289,121.506004,DRILLDD,931940,89.0,224327.0,55.0,0.0,Drillhole Original
19903618,-31.353289,121.506004,DRILLDD,931940,88.7,224326.0,76.0,0.0,Drillhole Original
19903617,-31.353289,121.506004,DRILLDD,931940,87.7,224325.0,62.0,0.0,Drillhole Original
19903616,-31.353289,121.506004,DRILLDD,931940,87.19,224324.0,264.0,0.0,Drillhole Original
19903615,-31.353289,121.506004,DRILLDD,931940,86.74,224323.0,69.0,0.0,Drillhole Original
19903588,-31.353289,121.506004,DRILLDD,931940,36.0,224157.0,132.0,0.0,Drillhole Original
19903613,-31.353289,121.506004,DRILLDD,931940,85.56,224321.0,45.0,0.0,Drillhole Original
