Dataset,DepthBin,Count,BinStart,BinEnd
Drillhole Original,"[0.0, 50.0)",1423926,0.0,50.0
Drillhole Original,"[50.0, 100.0)",424983,50.0,100.0
Drillhole Original,"[100.0, 150.0)",185559,100.0,150.0
Drillhole Original,"[150.0, 200.0)",102754,150.0,200.0
Drillhole Original,"[200.0, 250.0)",61742,200.0,250.0
Drillhole Original,"[250.0, 300.0)",40935,250.0,300.0
Drillhole Original,"[300.0, 350.0)",31823,300.0,350.0
Drillhole Original,"[350.0, 400.0)",26693,350.0,400.0
Drillhole Original,"[400.0, 450.0)",23208,400.0,450.0
Drillhole Original,"[450.0, 500.0)",20403,450.0,500.0
Drillhole Original,"[500.0, 550.0)",18235,500.0,550.0
Drillhole Original,"[550.0, 600.0)",15573,550.0,600.0
Drillhole Original,"[600.0, 650.0)",13356,600.0,650.0
Drillhole Original,"[650.0, 700.0)",11674,650.0,700.0
Drillhole Original,"[700.0, 750.0)",9937,700.0,750.0
Drillhole Original,"[750.0, 800.0)",8228,750.0,800.0
Drillhole Original,"[800.0, 850.0)",7086,800.0,850.0
Drillhole Original,"[850.0, 900.0)",6290,850.0,900.0
Drillhole Original,"[900.0, 950.0)",4918,900.0,950.0
Drillhole Original,"[950.0, 1000.0)",4567,950.0,1000.0
Drillhole Original,"[1000.0, 1050.0)",3808,1000.0,1050.0
Drillhole Original,"[1050.0, 1100.0)",3538,1050.0,1100.0
Drillhole Original,"[1100.0, 1150.0)",2688,1100.0,1150.0
Drillhole Original,"[1150.0, 1200.0)",1781,1150.0,1200.0
Drillhole Original,"[1200.0, 1250.0)",1338,1200.0,1250.0
Drillhole Original,"[1250.0, 1300.0)",1078,1250.0,1300.0
Drillhole Original,"[1300.0, 1350.0)",928,1300.0,1350.0
Drillhole Original,"[1350.0, 1400.0)",661,1350.0,1400.0
Drillhole Original,"[1400.0, 1450.0)",868,1400.0,1450.0
Drillhole Original,"[1450.0, 1500.0)",723,1450.0,1500.0
Drillhole Original,"[1500.0, 1550.0)",637,1500.0,1550.0
Drillhole Original,"[1550.0, 1600.0)",514,1550.0,1600.0
Drillhole Original,"[1600.0, 1650.0)",808,1600.0,1650.0
Drillhole Original,"[1650.0, 1700.0)",708,1650.0,1700.0
Drillhole Original,"[1700.0, 1750.0)",836,1700.0,1750.0
Drillhole Original,"[1750.0, 1800.0)",585,1750.0,1800.0
Drillhole Original,"[1800.0, 1850.0)",343,1800.0,1850.0
Drillhole Original,"[1850.0, 1900.0)",275,1850.0,1900.0
Drillhole Original,"[1900.0, 1950.0)",177,1900.0,1950.0
Drillhole Original,"[1950.0, 2000.0)",100,1950.0,2000.0
Drillhole Original,"[2000.0, 2050.0)",61,2000.0,2050.0
Drillhole Original,"[2050.0, 2100.0)",0,2050.0,2100.0
Drillhole Original,"[2100.0, 2150.0)",0,2100.0,2150.0
Drillhole Original,"[2150.0, 2200.0)",0,2150.0,2200.0
Drillhole Original,"[2200.0, 2250.0)",0,2200.0,2250.0
Drillhole Original,"[2250.0, 2300.0)",0,2250.0,2300.0
Drillhole Original,"[2300.0, 2350.0)",0,2300.0,2350.0
Drillhole Original,"[2350.0, 2400.0)",0,2350.0,2400.0
Drillhole Original,"[2400.0, 2450.0)",0,2400.0,2450.0
Drillhole Original,"[2450.0, 2500.0)",0,2450.0,2500.0
Drillhole DNN,"[0.0, 50.0)",682432,0.0,50.0
Drillhole DNN,"[50.0, 100.0)",127746,50.0,100.0
Drillhole DNN,"[100.0, 150.0)",48800,100.0,150.0
Drillhole DNN,"[150.0, 200.0)",24778,150.0,200.0
Drillhole DNN,"[200.0, 250.0)",13920,200.0,250.0
Drillhole DNN,"[250.0, 300.0)",7610,250.0,300.0
Drillhole DNN,"[300.0, 350.0)",4272,300.0,350.0
Drillhole DNN,"[350.0, 400.0)",2779,350.0,400.0
Drillhole DNN,"[400.0, 450.0)",1912,400.0,450.0
Drillhole DNN,"[450.0, 500.0)",1192,450.0,500.0
Drillhole DNN,"[500.0, 550.0)",849,500.0,550.0
Drillhole DNN,"[550.0, 600.0)",644,550.0,600.0
Drillhole DNN,"[600.0, 650.0)",478,600.0,650.0
Drillhole DNN,"[650.0, 700.0)",284,650.0,700.0
Drillhole DNN,"[700.0, 750.0)",252,700.0,750.0
Drillhole DNN,"[750.0, 800.0)",358,750.0,800.0
Drillhole DNN,"[800.0, 850.0)",236,800.0,850.0
Drillhole DNN,"[850.0, 900.0)",117,850.0,900.0
Drillhole DNN,"[900.0, 950.0)",121,900.0,950.0
Drillhole DNN,"[950.0, 1000.0)",166,950.0,1000.0
Drillhole DNN,"[1000.0, 1050.0)",233,1000.0,1050.0
Drillhole DNN,"[1050.0, 1100.0)",275,1050.0,1100.0
Drillhole DNN,"[1100.0, 1150.0)",187,1100.0,1150.0
Drillhole DNN,"[1150.0, 1200.0)",136,1150.0,1200.0
Drillhole DNN,"[1200.0, 1250.0)",97,1200.0,1250.0
Drillhole DNN,"[1250.0, 1300.0)",44,1250.0,1300.0
Drillhole DNN,"[1300.0, 1350.0)",91,1300.0,1350.0
Drillhole DNN,"[1350.0, 1400.0)",68,1350.0,1400.0
Drillhole DNN,"[1400.0, 1450.0)",39,1400.0,1450.0
Drillhole DNN,"[1450.0, 1500.0)",37,1450.0,1500.0
Drillhole DNN,"[1500.0, 1550.0)",12,1500.0,1550.0
Drillhole DNN,"[1550.0, 1600.0)",11,1550.0,1600.0
Drillhole DNN,"[1600.0, 1650.0)",8,1600.0,1650.0
Drillhole DNN,"[1650.0, 1700.0)",10,1650.0,1700.0
Drillhole DNN,"[1700.0, 1750.0)",2,1700.0,1750.0
Drillhole DNN,"[1750.0, 1800.0)",11,1750.0,1800.0
Drillhole DNN,"[1800.0, 1850.0)",2,1800.0,1850.0
Drillhole DNN,"[1850.0, 1900.0)",4,1850.0,1900.0
Drillhole DNN,"[1900.0, 1950.0)",5,1900.0,1950.0
Drillhole DNN,"[1950.0, 2000.0)",5,1950.0,2000.0
Drillhole DNN,"[2000.0, 2050.0)",2,2000.0,2050.0
Drillhole DNN,"[2050.0, 2100.0)",0,2050.0,2100.0
Drillhole DNN,"[2100.0, 2150.0)",0,2100.0,2150.0
Drillhole DNN,"[2150.0, 2200.0)",0,2150.0,2200.0
Drillhole DNN,"[2200.0, 2250.0)",0,2200.0,2250.0
Drillhole DNN,"[2250.0, 2300.0)",0,2250.0,2300.0
Drillhole DNN,"[2300.0, 2350.0)",0,2300.0,2350.0
Drillhole DNN,"[2350.0, 2400.0)",0,2350.0,2400.0
Drillhole DNN,"[2400.0, 2450.0)",0,2400.0,2450.0
Drillhole DNN,"[2450.0, 2500.0)",0,2450.0,2500.0
