Dataset,g_lat,g_lon,Count
Drillhole Original,-655,2327,182245
Drillhole Original,-673,2408,128073
Drillhole Original,-673,2407,74652
Drillhole Original,-671,2406,66487
Drillhole Original,-620,2418,45173
Drillhole Original,-583,2338,39823
Drillhole Original,-577,2340,29494
Drillhole Original,-671,2407,27904
Drillhole Original,-573,2328,26357
Drillhole Original,-672,2407,25331
Drillhole Original,-672,2406,24493
Drillhole Original,-576,2339,24059
Drillhole Original,-628,2430,22934
Drillhole Original,-674,2404,22367
Drillhole Original,-600,2385,20648
Drillhole Original,-575,2339,20428
Drillhole Original,-671,2358,19052
Drillhole Original,-626,2374,18995
Drillhole Original,-569,2335,18754
Drillhole Original,-577,2339,18202
Drillhole Original,-595,2343,17912
Drillhole Original,-594,2384,17713
Drillhole Original,-655,2328,17609
Drillhole Original,-617,2391,17269
Drillhole Original,-675,2404,17156
Drillhole Original,-581,2337,16580
Drillhole Original,-615,2389,16355
Drillhole Original,-673,2404,16250
Drillhole Original,-583,2336,15483
Drillhole Original,-626,2430,15474
Drillhole Original,-597,2386,14660
Drillhole Original,-592,2343,14355
Drillhole Original,-600,2400,13624
Drillhole Original,-630,2431,13070
Drillhole Original,-609,2400,12601
Drillhole Original,-627,2430,12531
Drillhole Original,-654,2327,12380
Drillhole Original,-622,2325,11627
Drillhole Original,-648,2394,11562
Drillhole Original,-591,2343,11431
Drillhole Original,-631,2392,11124
Drillhole Original,-584,2336,11030
Drillhole Original,-576,2340,10912
Drillhole Original,-577,2341,10863
Drillhole Original,-654,2326,10834
Drillhole Original,-652,2326,10827
Drillhole Original,-629,2431,10434
Drillhole Original,-604,2383,10415
Drillhole Original,-672,2358,10406
Drillhole Original,-600,2386,10354
Drillhole Original,-616,2403,10326
Drillhole Original,-632,2392,10161
Drillhole Original,-615,2403,9896
Drillhole Original,-675,2405,9286
Drillhole Original,-583,2339,9256
Drillhole Original,-618,2333,9130
Drillhole Original,-634,2433,9095
Drillhole Original,-578,2339,8457
Drillhole Original,-585,2354,8452
Drillhole Original,-599,2400,8327
Drillhole Original,-630,2393,8263
Drillhole Original,-580,2339,8140
Drillhole Original,-595,2344,8098
Drillhole Original,-631,2394,8046
Drillhole Original,-650,2394,7994
Drillhole Original,-633,2395,7724
Drillhole Original,-612,2379,7676
Drillhole Original,-599,2399,7469
Drillhole Original,-597,2385,7421
Drillhole Original,-605,2387,7417
Drillhole Original,-584,2335,7415
Drillhole Original,-643,2395,7133
Drillhole Original,-649,2394,7068
Drillhole Original,-631,2391,7059
Drillhole Original,-632,2393,6926
Drillhole Original,-631,2393,6807
Drillhole Original,-644,2410,6760
Drillhole Original,-616,2390,6742
Drillhole Original,-596,2399,6535
Drillhole Original,-612,2402,6456
Drillhole Original,-611,2379,6252
Drillhole Original,-662,2367,6043
Drillhole Original,-653,2326,5937
Drillhole Original,-614,2389,5927
Drillhole Original,-632,2430,5553
Drillhole Original,-632,2394,5548
Drillhole Original,-608,2335,5465
Drillhole Original,-634,2432,5449
Drillhole Original,-641,2405,5376
Drillhole Original,-619,2332,5307
Drillhole Original,-642,2395,5262
Drillhole Original,-607,2398,5220
Drillhole Original,-630,2391,5203
Drillhole Original,-660,2391,5173
Drillhole Original,-637,2381,5141
Drillhole Original,-607,2392,5139
Drillhole Original,-581,2344,5095
Drillhole Original,-606,2389,5087
Drillhole Original,-654,2396,5070
Drillhole Original,-618,2326,5045
Drillhole Original,-638,2341,5025
Drillhole Original,-639,2409,4981
Drillhole Original,-642,2392,4975
Drillhole Original,-584,2324,4965
Drillhole Original,-629,2390,4958
Drillhole Original,-645,2393,4919
Drillhole Original,-627,2387,4840
Drillhole Original,-630,2390,4831
Drillhole Original,-637,2393,4780
Drillhole Original,-630,2337,4709
Drillhole Original,-674,2405,4648
Drillhole Original,-645,2410,4602
Drillhole Original,-651,2394,4554
Drillhole Original,-649,2414,4519
Drillhole Original,-579,2339,4481
Drillhole Original,-627,2388,4463
Drillhole Original,-605,2385,4446
Drillhole Original,-635,2392,4395
Drillhole Original,-584,2337,4346
Drillhole Original,-672,2359,4334
Drillhole Original,-609,2378,4240
Drillhole Original,-628,2389,4215
Drillhole Original,-586,2338,4166
Drillhole Original,-626,2387,4159
Drillhole Original,-578,2364,4133
Drillhole Original,-581,2338,4012
Drillhole Original,-615,2404,3993
Drillhole Original,-641,2395,3964
Drillhole Original,-605,2388,3956
Drillhole Original,-587,2345,3943
Drillhole Original,-566,2336,3877
Drillhole Original,-615,2402,3869
Drillhole Original,-621,2332,3866
Drillhole Original,-636,2392,3834
Drillhole Original,-565,2336,3759
Drillhole Original,-630,2387,3736
Drillhole Original,-630,2392,3733
Drillhole Original,-590,2345,3733
Drillhole Original,-620,2332,3718
Drillhole Original,-613,2379,3701
Drillhole Original,-548,2308,3692
Drillhole Original,-629,2430,3683
Drillhole Original,-646,2393,3627
Drillhole Original,-583,2337,3622
Drillhole Original,-639,2408,3616
Drillhole Original,-606,2398,3554
Drillhole Original,-651,2395,3546
Drillhole Original,-612,2378,3526
Drillhole Original,-622,2333,3486
Drillhole Original,-661,2366,3447
Drillhole Original,-660,2390,3417
Drillhole Original,-642,2433,3407
Drillhole Original,-623,2416,3405
Drillhole Original,-674,2406,3395
Drillhole Original,-605,2383,3394
Drillhole Original,-655,2397,3278
Drillhole Original,-674,2408,3272
Drillhole Original,-644,2426,3223
Drillhole Original,-582,2339,3177
Drillhole Original,-623,2422,3159
Drillhole Original,-672,2316,3048
Drillhole Original,-600,2389,3023
Drillhole Original,-640,2409,3010
Drillhole Original,-620,2423,3008
Drillhole Original,-617,2392,2930
Drillhole Original,-581,2346,2919
Drillhole Original,-648,2413,2914
Drillhole Original,-643,2369,2905
Drillhole Original,-639,2433,2869
Drillhole Original,-649,2420,2858
Drillhole Original,-624,2386,2820
Drillhole Original,-559,2320,2791
Drillhole Original,-574,2327,2786
Drillhole Original,-559,2321,2645
Drillhole Original,-632,2395,2634
Drillhole Original,-652,2395,2628
Drillhole Original,-596,2386,2610
Drillhole Original,-644,2433,2608
Drillhole Original,-589,2382,2596
Drillhole Original,-626,2429,2553
Drillhole Original,-644,2409,2538
Drillhole Original,-580,2338,2522
Drillhole Original,-621,2383,2516
Drillhole Original,-666,2399,2513
Drillhole Original,-614,2390,2502
Drillhole Original,-580,2329,2463
Drillhole Original,-648,2412,2456
Drillhole Original,-606,2388,2455
Drillhole Original,-612,2401,2455
Drillhole Original,-627,2389,2452
Drillhole Original,-619,2333,2450
Drillhole Original,-629,2387,2448
Drillhole Original,-635,2432,2438
Drillhole Original,-574,2326,2423
Drillhole Original,-573,2327,2419
Drillhole Original,-640,2431,2356
Drillhole Original,-638,2395,2346
Drillhole Original,-619,2327,2341
Drillhole Original,-574,2325,2332
Drillhole Original,-594,2386,2309
Drillhole Original,-611,2378,2299
Drillhole Original,-651,2415,2295
Drillhole Original,-563,2335,2286
Drillhole Original,-594,2344,2276
Drillhole Original,-672,2403,2257
Drillhole Original,-691,2371,2212
Drillhole Original,-633,2392,2195
Drillhole Original,-638,2430,2173
Drillhole Original,-608,2399,2157
Drillhole Original,-569,2336,2152
Drillhole Original,-652,2415,2149
Drillhole Original,-581,2349,2148
Drillhole Original,-621,2328,2147
Drillhole Original,-579,2338,2122
Drillhole Original,-592,2390,2113
Drillhole Original,-648,2395,2108
Drillhole Original,-619,2328,2104
Drillhole Original,-624,2427,2103
Drillhole Original,-615,2390,2101
Drillhole Original,-594,2329,2092
Drillhole Original,-647,2394,2081
Drillhole Original,-555,2294,2043
Drillhole Original,-590,2382,2040
Drillhole Original,-581,2339,2036
Drillhole Original,-663,2367,2023
Drillhole Original,-640,2430,2015
Drillhole Original,-622,2326,2003
Drillhole Original,-647,2413,1971
Drillhole Original,-659,2401,1958
Drillhole Original,-566,2334,1958
Drillhole Original,-663,2395,1956
Drillhole Original,-584,2339,1950
Drillhole Original,-637,2431,1939
Drillhole Original,-663,2394,1939
Drillhole Original,-632,2391,1931
Drillhole Original,-630,2394,1929
Drillhole Original,-643,2396,1924
Drillhole Original,-628,2387,1909
Drillhole Original,-613,2401,1903
Drillhole Original,-610,2373,1897
Drillhole Original,-582,2338,1897
Drillhole Original,-591,2383,1888
Drillhole Original,-628,2429,1876
Drillhole Original,-679,2382,1876
Drillhole Original,-629,2332,1864
Drillhole Original,-623,2331,1861
Drillhole Original,-644,2395,1849
Drillhole Original,-643,2409,1837
Drillhole Original,-585,2336,1833
