Dataset,Value,Count,Ratio(%)
Drillhole Original,DRILLRC,3179539,49.72
Drillhole Original,DRILLAC,1045754,16.35
Drillhole Original,DRILLDD,959877,15.01
Drillhole Original,DRILLRAB,812084,12.7
Drillhole Original,DRILLVAC,240119,3.75
Drillhole Original,DRILLUNKN,123883,1.94
Drillhole Original,DRILLPERC,17041,0.27
Drillhole Original,DRILLAUG,16827,0.26
Drillhole Original,DRILLSONIC,170,0.0
Drillhole DNN,DRILLRC,574973,62.48
Drillhole DNN,DRILLVAC,133258,14.48
Drillhole DNN,DRILLDD,92362,10.04
Drillhole DNN,DRILLAC,82678,8.98
Drillhole DNN,DRILLRAB,29767,3.23
Drillhole DNN,DRILLAUG,4030,0.44
Drillhole DNN,DRILLUNKN,3050,0.33
Drillhole DNN,DRILLPERC,67,0.01
Drillhole DNN,DRILLSONIC,40,0.0
Surface Original,SOIL,660376,66.48
Surface Original,SHALL,290280,29.22
Surface Original,ROCKC,38213,3.85
Surface Original,STREA,4487,0.45
Surface DNN,SOIL,425072,78.01
Surface DNN,SHALL,88883,16.31
Surface DNN,ROCKC,26303,4.83
Surface DNN,STREA,4628,0.85
