SAMPLEID_dl,DLAT_dl,DLONG_dl,SAMPLETYPE_dl,Cu_ppm_dl,SAMPLEID_ori,DLAT_ori,DLONG_ori,SAMPLETYPE_ori,Cu_ppm_ori,SPURIOUS
733977,-28.518791,114.74375,SOIL,13.014,2825010,-28.518791,114.74375,SOIL,0.01,0
734005,-28.51834,114.74376,SOIL,62.462,2825038,-28.51834,114.74376,SOIL,0.01,0
734034,-28.517889,114.74377,SOIL,19.107,2825067,-28.517889,114.74377,SOIL,0.01,0
734064,-28.517439,114.743774,SOIL,63.957,2825097,-28.517439,114.743774,SOIL,0.01,0
734096,-28.516987,114.74379,SOIL,12.441,2825129,-28.516987,114.74379,SOIL,0.01,0
734163,-28.516085,114.743805,SOIL,56.253,2825196,-28.516085,114.743805,SOIL,0.01,0
733978,-28.518795,114.744,SOIL,45.776,2825011,-28.518795,114.744,SOIL,0.01,0
734006,-28.518345,114.74401,SOIL,15.938,2825039,-28.518345,114.74401,SOIL,0.01,0
734035,-28.517893,114.744026,SOIL,76.873,2825068,-28.517893,114.744026,SOIL,0.01,0
734065,-28.517443,114.74403,SOIL,66.822,2825098,-28.517443,114.74403,SOIL,0.01,0
734097,-28.51699,114.74404,SOIL,6.956,2825130,-28.51699,114.74404,SOIL,0.01,0
734129,-28.51654,114.74406,SOIL,48.798,2825162,-28.51654,114.74406,SOIL,0.01,0
734164,-28.516088,114.744064,SOIL,21.605,2825197,-28.516088,114.744064,SOIL,0.01,0
734199,-28.515638,114.74407,SOIL,10.43,2825232,-28.515638,114.74407,SOIL,0.01,0
733979,-28.518799,114.74426,SOIL,117.287,2825012,-28.518799,114.74426,SOIL,0.01,0
734007,-28.518349,114.74427,SOIL,74.53,2825040,-28.518349,114.74427,SOIL,0.01,0
734036,-28.517897,114.74428,SOIL,132.898,2825069,-28.517897,114.74428,SOIL,0.01,0
734066,-28.517447,114.744286,SOIL,28.045,2825099,-28.517447,114.744286,SOIL,0.01,0
734098,-28.516994,114.7443,SOIL,16.444,2825131,-28.516994,114.7443,SOIL,0.01,0
734130,-28.516544,114.74431,SOIL,79.608,2825163,-28.516544,114.74431,SOIL,0.01,0
734165,-28.516092,114.744316,SOIL,35.061,2825198,-28.516092,114.744316,SOIL,0.01,0
734200,-28.515642,114.74432,SOIL,2.587,2825233,-28.515642,114.74432,SOIL,0.01,0
734236,-28.51519,114.74434,SOIL,4.373,2825269,-28.51519,114.74434,SOIL,0.01,0
733980,-28.518803,114.744514,SOIL,82.88,2825013,-28.518803,114.744514,SOIL,0.01,0
734008,-28.518353,114.74452,SOIL,86.866,2825041,-28.518353,114.74452,SOIL,0.01,0
734037,-28.5179,114.74454,SOIL,30.559,2825070,-28.5179,114.74454,SOIL,0.01,0
734067,-28.51745,114.744545,SOIL,52.654,2825100,-28.51745,114.744545,SOIL,0.01,0
734099,-28.516998,114.74455,SOIL,99.33900000000001,2825132,-28.516998,114.74455,SOIL,0.01,0
734131,-28.516548,114.74456,SOIL,3.507,2825164,-28.516548,114.74456,SOIL,0.01,0
734166,-28.516096,114.744576,SOIL,3.95,2825199,-28.516096,114.744576,SOIL,0.01,0
734201,-28.515646,114.74458,SOIL,8.83,2825234,-28.515646,114.74458,SOIL,0.01,0
734237,-28.515196,114.74459,SOIL,0.829,2825270,-28.515196,114.74459,SOIL,0.01,0
734274,-28.514744,114.7446,SOIL,18.875,2825307,-28.514744,114.7446,SOIL,0.01,0
733981,-28.518808,114.744774,SOIL,66.388,2825014,-28.518808,114.744774,SOIL,0.01,0
734009,-28.518356,114.74478,SOIL,15.199,2825042,-28.518356,114.74478,SOIL,0.01,0
734038,-28.517906,114.74479,SOIL,59.927,2825071,-28.517906,114.74479,SOIL,0.01,0
734068,-28.517454,114.7448,SOIL,9.139,2825101,-28.517454,114.7448,SOIL,0.01,0
734100,-28.517004,114.74481,SOIL,9.91,2825133,-28.517004,114.74481,SOIL,0.01,0
734132,-28.516554,114.74482,SOIL,33.637,2825165,-28.516554,114.74482,SOIL,0.01,0
734167,-28.516102,114.74483,SOIL,6.956,2825200,-28.516102,114.74483,SOIL,0.01,0
734202,-28.515652,114.744835,SOIL,17.452,2825235,-28.515652,114.744835,SOIL,0.01,0
734238,-28.5152,114.74485,SOIL,2.501,2825271,-28.5152,114.74485,SOIL,0.01,0
734275,-28.51475,114.74486,SOIL,80.676,2825308,-28.51475,114.74486,SOIL,0.01,0
734312,-28.514297,114.744865,SOIL,26.078,2825345,-28.514297,114.744865,SOIL,0.01,0
733982,-28.518812,114.745026,SOIL,24.471,2825015,-28.518812,114.745026,SOIL,0.01,0
734010,-28.51836,114.74503,SOIL,113.579,2825043,-28.51836,114.74503,SOIL,0.01,0
734039,-28.51791,114.74505,SOIL,29.904,2825072,-28.51791,114.74505,SOIL,0.01,0
734069,-28.51746,114.745056,SOIL,23.425,2825102,-28.51746,114.745056,SOIL,0.01,0
734101,-28.517008,114.74506,SOIL,4.13,2825134,-28.517008,114.74506,SOIL,0.01,0
734133,-28.516558,114.74507,SOIL,0.538,2825166,-28.516558,114.74507,SOIL,0.01,0
734168,-28.516106,114.74509,SOIL,27.81,2825201,-28.516106,114.74509,SOIL,0.01,0
734203,-28.515656,114.745094,SOIL,3.589,2825236,-28.515656,114.745094,SOIL,0.01,0
734239,-28.515203,114.7451,SOIL,48.329,2825272,-28.515203,114.7451,SOIL,0.01,0
734276,-28.514753,114.74511,SOIL,19.05,2825309,-28.514753,114.74511,SOIL,0.01,0
734313,-28.514301,114.745125,SOIL,15.038,2825346,-28.514301,114.745125,SOIL,0.01,0
733983,-28.518816,114.74528,SOIL,152.237,2825016,-28.518816,114.74528,SOIL,0.01,0
734011,-28.518366,114.74529,SOIL,29.303,2825044,-28.518366,114.74529,SOIL,0.01,0
734040,-28.517914,114.7453,SOIL,148.015,2825073,-28.517914,114.7453,SOIL,0.01,0
734070,-28.517464,114.74531,SOIL,4.968,2825103,-28.517464,114.74531,SOIL,0.01,0
734102,-28.517012,114.74532,SOIL,265.012,2825135,-28.517012,114.74532,SOIL,0.01,0
734134,-28.516562,114.74533,SOIL,12.67,2825167,-28.516562,114.74533,SOIL,0.01,0
